"","Baricitinib.Remdesivir_2020.12.11.WTP","Baricitinib.Remdesivir_2020.12.11.LY_dampack","Baricitinib.Remdesivir_2020.12.11.LY_code","Baricitinib.Remdesivir_2020.12.11.LY_delta","Baricitinib.Remdesivir_2020.12.11.QALY_dampack","Baricitinib.Remdesivir_2020.12.11.QALY_code","Baricitinib.Remdesivir_2020.12.11.QALY_delta","Casirivimab.Imdevimab_2021_06_16.WTP","Casirivimab.Imdevimab_2021_06_16.LY_dampack","Casirivimab.Imdevimab_2021_06_16.LY_code","Casirivimab.Imdevimab_2021_06_16.LY_delta","Casirivimab.Imdevimab_2021_06_16.QALY_dampack","Casirivimab.Imdevimab_2021_06_16.QALY_code","Casirivimab.Imdevimab_2021_06_16.QALY_delta","Dexamethasone_2020.07.17.WTP","Dexamethasone_2020.07.17.LY_dampack","Dexamethasone_2020.07.17.LY_code","Dexamethasone_2020.07.17.LY_delta","Dexamethasone_2020.07.17.QALY_dampack","Dexamethasone_2020.07.17.QALY_code","Dexamethasone_2020.07.17.QALY_delta","Hydroxychloroquine_2020.11.19.WTP","Hydroxychloroquine_2020.11.19.LY_dampack","Hydroxychloroquine_2020.11.19.LY_code","Hydroxychloroquine_2020.11.19.LY_delta","Hydroxychloroquine_2020.11.19.QALY_dampack","Hydroxychloroquine_2020.11.19.QALY_code","Hydroxychloroquine_2020.11.19.QALY_delta","Interferon.B1a_2020.12.02.WTP","Interferon.B1a_2020.12.02.LY_dampack","Interferon.B1a_2020.12.02.LY_code","Interferon.B1a_2020.12.02.LY_delta","Interferon.B1a_2020.12.02.QALY_dampack","Interferon.B1a_2020.12.02.QALY_code","Interferon.B1a_2020.12.02.QALY_delta","Lopinavir.Ritonavir_2020.10.05.WTP","Lopinavir.Ritonavir_2020.10.05.LY_dampack","Lopinavir.Ritonavir_2020.10.05.LY_code","Lopinavir.Ritonavir_2020.10.05.LY_delta","Lopinavir.Ritonavir_2020.10.05.QALY_dampack","Lopinavir.Ritonavir_2020.10.05.QALY_code","Lopinavir.Ritonavir_2020.10.05.QALY_delta","Remdesivir_2020.10.15.WTP","Remdesivir_2020.10.15.LY_dampack","Remdesivir_2020.10.15.LY_code","Remdesivir_2020.10.15.LY_delta","Remdesivir_2020.10.15.QALY_dampack","Remdesivir_2020.10.15.QALY_code","Remdesivir_2020.10.15.QALY_delta","Tocilizumab_2021.04.22.WTP","Tocilizumab_2021.04.22.LY_dampack","Tocilizumab_2021.04.22.LY_code","Tocilizumab_2021.04.22.LY_delta","Tocilizumab_2021.04.22.QALY_dampack","Tocilizumab_2021.04.22.QALY_code","Tocilizumab_2021.04.22.QALY_delta"
"1",0,55457921.0184061,55457921.0184061,0,55457921.0184061,55457921.0184061,0,0,1496274695.48438,1496274695.48438,0,1496274695.48438,1496274695.48438,0,0,98086454.7218508,98086454.7218508,0,98086454.7218508,98086454.7218508,0,0,118476371.425449,118476371.425449,0,118476371.425449,118476371.425449,0,0,272985263.946041,272985263.946041,0,272985253.564384,272985263.946041,-10.3816569447517,0,1587234908.66085,1587234928.32128,-19.6604354381561,1587234908.66085,1587234928.32128,-19.6604354381561,0,1555081296.75523,1555081296.75523,0,1555081296.75523,1555081296.75523,0,0,0,0,0,0,0,0
"2",10000,108270625.721878,108270629.702162,-3.98028400540352,48925047.7081991,48925047.7081991,0,10000,1417235485.76598,1417235485.76598,0,1542363136.31728,1542363136.31728,0,10000,154049634.060406,154049634.425751,-0.365345239639282,137744963.193336,137744963.193336,0,10000,204765995.089675,204765995.089675,0,151848077.55784,151848077.55784,0,10000,77753832.1451994,77753832.1451994,0,414497893.981822,414497893.981822,0,10000,1679966330.38233,1679966330.38233,0,1631054292.96168,1631054292.96168,0,10000,1228722365.55253,1228722365.55253,0,1401285979.6221,1401285979.6221,0,10000,0,0,0,0,0,0
"3",20000,30789569.9043839,30789569.9043839,0,305409519.325049,305409520.65529,-1.33024150133133,20000,1218051468.03181,1218051468.03181,0,1444080240.31102,1444080240.31102,0,20000,53183876.2580641,53183876.2580641,0,194799961.503213,194799963.465395,-1.96218210458755,20000,384791956.793474,384791958.637964,-1.84449058771133,208408143.987649,208408143.987649,0,20000,14695644.2812684,14695644.2812684,0,215541483.678961,215541483.678961,0,20000,1627532222.03328,1627532222.03328,0,1683566293.45748,1683566293.45748,0,20000,976136992.004855,976136992.004855,0,1267631489.43996,1267631489.43996,0,20000,9799632.86070931,9799632.86070931,0,301496.175553059,301496.175553059,0
"4",30000,62319507.6129581,62319507.6129581,0,488995951.918072,488995955.760783,-3.84271115064621,30000,1049890523.65667,1049890523.65667,0,1355015466.5903,1355015466.5903,0,30000,15296584.6825927,15296584.6825927,0,194360665.669257,194360665.669257,0,30000,692716183.822569,692716183.822569,0,292831366.858141,292831366.858141,0,30000,17136141.051609,17136141.051609,0,140093935.693934,140093935.693934,0,30000,1538592893.14586,1538592912.6008,-19.4549403190613,1721149389.94463,1721149389.94463,0,30000,789197341.924998,789197341.924998,0,1152950047.23763,1152950047.23763,0,30000,82578398.2044049,82578398.2044049,0,16140345.3454158,16140345.3454158,0
"5",40000,96800429.4781034,96800429.4781034,0,361536590.044772,361536590.044772,0,40000,910787128.537286,910787128.537286,0,1273859917.4721,1273859917.4721,0,40000,4288164.62884929,4288164.62884929,0,170432825.863347,170432825.863347,0,40000,977161662.315999,977161671.460789,-9.14478957653046,408889214.319484,408889214.319484,0,40000,25603613.2662835,25603613.2662835,0,103068045.571651,103068056.999678,-11.4280267804861,40000,1479545349.58313,1479545349.58313,0,1679012213.75044,1679012213.75044,0,40000,657457416.811988,657457416.811988,0,1055214332.34118,1055214332.34118,0,40000,20474173.0686834,20474173.0686834,0,68759045.9655529,68759045.9655529,0
"6",50000,131793220.878629,131793220.878629,0,294213508.393682,294213508.393682,0,50000,797914871.729499,797914960.838703,-89.1092042922974,1200737065.67687,1200737065.67687,0,50000,1228999.9330982,1228999.9330982,0,153789375.498234,153789378.258348,-2.76011392474174,50000,796603385.82696,796603385.82696,0,556421124.020135,556421138.737911,-14.7177764177322,50000,37192248.6948659,37192248.6948659,0,82832738.0118776,82832738.0118776,0,50000,1445110998.89912,1445111020.88761,-21.988490819931,1644828640.72033,1644828640.72033,0,50000,565798722.956206,565798722.956206,0,972177851.389258,972177851.389258,0,50000,6619798.69624872,6619798.69624872,0,150977657.975048,150977657.975048,0
"7",60000,167084325.541785,167084325.541785,0,255397461.196861,255397461.196861,0,60000,706012350.38305,706012382.958259,-32.5752086639404,1134742933.32789,1134742933.32789,0,60000,429005.81833908,429005.81833908,0,141311918.95682,141311918.95682,0,60000,681436360.101211,681436360.101211,0,733012746.936689,733012746.936689,0,60000,50435435.6845769,50435435.6845769,0,71341535.1669631,71341535.1669631,0,60000,1431758877.23662,1431758877.23662,0,1617165499.25318,1617165499.25318,0,60000,503650675.98904,503650675.98904,0,902243520.168079,902243520.168079,0,60000,3101063.96900107,3101063.96900107,0,251023196.595976,251023196.595976,0
"8",70000,202508902.188,202508902.188,0,233428783.823876,233428783.823876,0,70000,632981089.752416,632981089.752416,0,1075428606.39045,1075428643.28191,-36.8914611339569,70000,132235.708721021,132235.708721021,0,131378942.16453,131378942.16453,0,70000,606205488.103982,606205488.103982,0,934380186.019967,934380194.462658,-8.44269108772278,70000,64577717.3875869,64577717.3875869,0,65523337.7422163,65523337.7422163,0,70000,1436122866.43978,1436122898.54179,-32.1020081043243,1595302622.70588,1595302622.70588,0,70000,464285154.404782,464285209.430964,-55.0261814594269,843128875.313242,843128875.313242,0,70000,1755370.14906721,1755370.14906721,0,362629304.76807,362629304.76807,0
"9",80000,238043273.450239,238043273.450239,0,222164787.306848,222164787.306848,0,80000,575273889.064133,575273889.064133,0,1021732396.40869,1021732396.40869,0,80000,50345.6889321853,50345.6889321853,0,123439560.903969,123439560.903969,0,80000,555762047.616012,555762210.107421,-162.491408824921,1155761426.34598,1155761441.57639,-15.2304022312164,80000,79336417.1281451,79336488.6528125,-71.5246674567461,63330405.6086183,63330405.6086183,0,80000,1455216036.67839,1455216036.67839,0,1579836706.14866,1579836706.14866,0,80000,440756996.3882,440757171.207629,-174.819429039955,793748353.021561,793748353.021561,0,80000,1163477.61003439,1163477.61003439,0,482471455.952993,482471455.952993,0
"10",90000,273606186.569541,273606186.569541,0,217560665.679134,217560665.679134,0,90000,530368042.274258,530368042.274258,0,973531187.881521,973531187.881521,0,90000,16048.9507412577,16048.9507412577,0,116874007.675082,116874007.675082,0,90000,524195987.088627,524196049.584767,-62.4961397051811,1191641549.36134,1191641549.36134,0,90000,94491964.5024462,94491964.5024462,0,63329775.3868089,63329775.3868089,0,90000,1487031145.00767,1487031205.81165,-60.803973197937,1569680285.8965,1569680285.8965,0,90000,427949672.320281,427949672.320281,0,751652308.090874,751652308.090874,0,90000,806515.587002513,806515.587002513,0,516202173.697994,516202173.697994,0
